mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
independent,0,0.0,38.52813628768558,True,13.0,14,136.0,14.680631562891435,73.40315781445717,18.690694749686852,17.197413323704595,45.0,0,0,400.77471884500005,0.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 33.0, 'Compliance Department': -9.0, 'Operations Department': 6.183157814457179, 'Risk Department': 7.22}",34.5,-9.0,6.183157814457179,7.22,70,400772.3987169993,5725.319981671419,deepseek/deepseek-v4-flash,standard,standard,,,,
centralized_profit,0,1.6887897053143393,35.33779003990922,True,13.0,14,132.0,12.656225961223416,63.28112980611708,17.768423358078273,16.22156222061905,43.0,84,14,466.5420944570001,0.35714285714285715,"{'Growth Department': 31.0, 'Trading/Opportunity Team': 30.0, 'Compliance Department': -12.0, 'Operations Department': 4.9473540120107895, 'Risk Department': 9.333775794106288}",30.5,-12.0,4.9473540120107895,9.333775794106288,70,466539.81527099904,6664.854503871415,deepseek/deepseek-v4-flash,standard,standard,0.0,Growth Department,profit,
centralized_sustainability,0,72.4804592658745,64.69908584757161,False,,20,118.0,23.339145418625822,116.69572709312911,1.0573673301986832,1.3217091627483541,3.304272906870885,120,20,297.7567761800001,0.9,"{'Growth Department': 24.0, 'Trading/Opportunity Team': 24.0, 'Compliance Department': 24.0, 'Operations Department': 24.0, 'Risk Department': 20.695727093129115}",24.0,24.0,24.0,20.695727093129115,100,297753.3752179993,2977.533752179993,deepseek/deepseek-v4-flash,standard,standard,2.0,Compliance Department,sustainability,
centralized_risk_averse,0,73.14145277145383,66.20380563713204,False,,20,115.0,22.757882304433302,113.7894115221665,0.3873883129067178,0.4842353911333973,1.2105884778334932,120,20,385.920856189,0.95,"{'Growth Department': 23.0, 'Trading/Opportunity Team': 23.0, 'Compliance Department': 23.0, 'Operations Department': 23.0, 'Risk Department': 21.789411522166507}",23.0,23.0,23.0,21.789411522166507,100,385917.51791399793,3859.1751791399793,deepseek/deepseek-v4-flash,standard,standard,4.0,Risk Department,risk_averse,
structured_debate,0,22.043503536021333,38.97288806263304,False,,20,155.0,26.840532545148854,134.20266272574426,12.357270991472797,11.065063273891631,29.43560642244925,300,40,529.322828198,0.55,"{'Growth Department': 37.0, 'Trading/Opportunity Team': 42.0, 'Compliance Department': 24.0, 'Operations Department': 12.56439357755075, 'Risk Department': 18.63826914819352}",39.5,24.0,12.56439357755075,18.63826914819352,100,529319.1646440027,5293.1916464400265,deepseek/deepseek-v4-flash,standard,standard,,,,
llm_centralized,0,17.190383137355372,39.73615650538179,False,,20,157.0,24.190392743460812,120.95196371730407,8.644964816735635,8.018095147272271,19.51551505229886,120,20,545.508423275,0.95,"{'Growth Department': 32.0, 'Trading/Opportunity Team': 32.0, 'Compliance Department': 17.0, 'Operations Department': 12.484484947701143, 'Risk Department': 27.467478769602913}",32.0,17.0,12.484484947701143,27.467478769602913,120,545503.6403050004,4545.863669208336,deepseek/deepseek-v4-flash,standard,standard,,,,
crewai_debate,0,40.216121302143584,50.03693697391113,False,,20,156.0,29.730634310166117,148.6531715508306,6.4547725529214794,5.917510708748113,14.171164227879622,220,60,1814.5962601249998,0.95,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 36.0, 'Compliance Department': 24.0, 'Operations Department': 30.824335778710225, 'Risk Department': 21.828835772120378}",36.0,24.0,30.824335778710225,21.828835772120378,320,1812010.6073479902,5662.533147962469,deepseek/deepseek-v4-flash,standard,standard,,,,
independent,0,1.5999289323504335,40.75300649891286,True,9.0,10,114.0,15.444627692362698,77.22313846181349,8.874378073526318,8.507082739483982,19.68800142135299,0,0,251.25362260699967,0.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 24.0, 'Operations Department': 5.911139883166488, 'Risk Department': 4.311998578647009}",22.333333333333332,,5.911139883166488,4.311998578647009,50,251252.05008399917,5025.041001679983,deepseek/deepseek-v4-flash,aggressive,standard,,,,
centralized_profit,0,2.537551849927647,41.273203455774095,True,9.0,10,113.0,15.283499836386842,76.4174991819342,9.323479964970758,9.08969870568445,20.689248963001447,60,10,251.31176778699955,0.0,"{'Growth Department': 24.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 5.106748144935651, 'Risk Department': 3.310751036998554}",22.666666666666668,,5.106748144935651,3.310751036998554,50,251310.0765370009,5026.201530740018,deepseek/deepseek-v4-flash,aggressive,standard,0.0,Growth Department,profit,
centralized_risk_averse,0,74.01812278214193,68.44912881990572,False,,20,110.0,21.787974230059096,108.93987115029547,0.3392412319054472,0.424051539881809,1.0601288497045225,120,20,337.1676414570002,0.95,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 22.0, 'Risk Department': 20.939871150295478}",22.0,,22.0,20.939871150295478,100,337164.2377480075,3371.642377480075,deepseek/deepseek-v4-flash,aggressive,standard,4.0,Risk Department,risk_averse,
structured_debate,0,8.167820937707665,33.07103801822517,False,,20,155.0,25.480426153149256,127.40213076574628,12.415150159318427,12.044024201871876,30.99681926148645,300,40,535.1933304899994,0.7,"{'Growth Department': 34.0, 'Trading/Opportunity Team': 34.0, 'Investment Department': 36.0, 'Operations Department': 5.003180738513549, 'Risk Department': 18.398950027232722}",34.666666666666664,,5.003180738513549,18.398950027232722,100,535189.7587959984,5351.897587959984,deepseek/deepseek-v4-flash,aggressive,standard,,,,
llm_centralized,0,37.48255574800544,49.774443180708076,False,,20,153.0,28.656534954625197,143.282674773126,4.14489860578275,3.816822590062357,9.188291059268177,120,20,527.8300777009999,1.0,"{'Growth Department': 33.0, 'Trading/Opportunity Team': 30.0, 'Investment Department': 32.0, 'Operations Department': 23.811708940731823, 'Risk Department': 24.470965832394167}",31.666666666666668,,23.811708940731823,24.470965832394167,120,527825.5557479952,4398.546297899959,deepseek/deepseek-v4-flash,aggressive,standard,,,,
crewai_debate,0,29.470406070412423,44.008585021555,False,,20,159.0,28.805406593369753,144.02703296684876,6.797936366557342,6.780162257974194,14.514135257832145,220,60,1910.2261523140005,0.9,"{'Growth Department': 35.0, 'Trading/Opportunity Team': 34.0, 'Investment Department': 34.0, 'Operations Department': 20.485864742167855, 'Risk Department': 20.541168224680906}",34.333333333333336,,20.485864742167855,20.541168224680906,320,1910222.6718610027,5969.445849565634,deepseek/deepseek-v4-flash,aggressive,standard,,,,
independent,0,23.13477318628224,43.854754249943696,False,,20,163.0,29.5151429738553,147.5757148692765,12.354669078751703,14.304571329975378,37.0,0,0,575.5699584819995,0.0,"{'Growth Department': 58.0, 'Compliance Department': 21.0, 'ESG Department': 22.0, 'Operations Department': 24.896198305737325, 'Risk Department': 21.679516563539185}",58.0,21.5,24.896198305737325,21.679516563539185,100,575566.5979800051,5755.665979800051,deepseek/deepseek-v4-flash,conservative,standard,,,,
