mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
independent,0,4.5880204535061715,40.34243109536614,True,12.0,13,128.0,14.612585745357958,73.06292872678979,17.96621306916485,16.59449524020399,41.0,0,0,127.89297678299772,0.0,"{'Growth Department': 34.0, 'Trading/Opportunity Team': 34.0, 'Compliance Department': -7.0, 'Operations Department': 3.7111683177196664, 'Risk Department': 8.351760409070124}",34.0,-7.0,3.7111683177196664,8.351760409070124,65,127890.84095000362,1967.551399230825,google/gemma-4-31b-it,standard,standard,,,,
centralized_profit,0,4.242155561752405,34.92696733635273,True,17.0,18,152.0,15.694621210574548,78.47310605287274,21.89947792933797,19.898503160850407,50.0,108,18,126.21545881999918,0.5555555555555556,"{'Growth Department': 38.0, 'Trading/Opportunity Team': 38.0, 'Compliance Department': -12.0, 'Operations Department': 1.1282629416376926, 'Risk Department': 13.344843111235047}",38.0,-12.0,1.1282629416376926,13.344843111235047,90,126212.34987400749,1402.3594430445276,google/gemma-4-31b-it,standard,standard,0.0,Growth Department,profit,
centralized_sustainability,0,74.95615627857127,71.77759681331392,False,,20,100.0,19.782743014212365,98.91371507106183,0.34761117726021323,0.43451397157526656,1.0862849289381664,120,20,107.64788318900173,1.0,"{'Growth Department': 20.0, 'Trading/Opportunity Team': 20.0, 'Compliance Department': 20.0, 'Operations Department': 20.0, 'Risk Department': 18.913715071061834}",20.0,20.0,20.0,18.913715071061834,100,107644.35908100131,1076.4435908100131,google/gemma-4-31b-it,standard,standard,2.0,Compliance Department,sustainability,
centralized_risk_averse,0,74.2414677273465,69.17677003879393,False,,20,108.0,21.38859597969284,106.9429798984642,0.8091232162457271,0.8060046048022254,2.0,120,20,93.20102918200064,0.95,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Compliance Department': 20.0, 'Operations Department': 22.0, 'Risk Department': 20.942979898464205}",22.0,20.0,22.0,20.942979898464205,100,93197.54761599688,931.9754761599688,google/gemma-4-31b-it,standard,standard,4.0,Risk Department,risk_averse,
structured_debate,0,1.6356907665062188,38.47269701299283,True,17.0,18,158.0,18.44183101792594,92.20915508962969,21.29331111301143,19.50652334810108,48.0,270,36,88.60001116400235,0.3333333333333333,"{'Growth Department': 41.0, 'Trading/Opportunity Team': 41.0, 'Compliance Department': -7.0, 'Operations Department': 3.9168055436785414, 'Risk Department': 13.292349545951156}",41.0,-7.0,3.9168055436785414,13.292349545951156,90,88596.69066700008,984.4076740777787,google/gemma-4-31b-it,standard,standard,,,,
llm_centralized,0,39.12535374819907,50.74784872742687,False,,20,151.0,28.44900448302558,142.2450224151279,9.491274070128684,8.895330492394352,20.16023146915214,120,20,277.93194837100236,1.0,"{'Growth Department': 39.0, 'Trading/Opportunity Team': 39.0, 'Compliance Department': 20.0, 'Operations Department': 25.405253884280025, 'Risk Department': 18.83976853084786}",39.0,20.0,25.405253884280025,18.83976853084786,120,277926.7658550161,2316.0563821251344,google/gemma-4-31b-it,standard,standard,,,,
crewai_debate,0,34.030308849548085,49.72842543503792,False,,20,155.0,28.990600980896307,144.95300490448153,9.993261129258151,9.333511896256073,21.22894102893172,220,60,966.0326854990017,1.0,"{'Growth Department': 40.0, 'Trading/Opportunity Team': 40.0, 'Compliance Department': 20.0, 'Operations Department': 26.181945933413267, 'Risk Department': 18.77105897106828}",40.0,20.0,26.181945933413267,18.77105897106828,320,966029.1113219755,3018.8409728811735,google/gemma-4-31b-it,standard,standard,,,,
independent,0,2.9066020020146013,42.83320993113983,True,8.0,9,110.0,15.088732393767978,75.44366196883989,8.35171295857917,8.467664415662993,17.641867959959704,0,0,43.727584319000016,0.0,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 5.085529928799598, 'Risk Department': 4.358132040040294}",22.0,,5.085529928799598,4.358132040040294,45,43726.22893598964,971.6939763553253,google/gemma-4-31b-it,aggressive,standard,,,,
centralized_profit,0,4.205089583610189,43.613544583294235,True,8.0,9,109.0,14.944318469969227,74.72159234984613,8.470546734716791,8.641422338974929,17.662509441826074,54,9,47.42778769099823,0.0,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 4.337490558173926, 'Risk Department': 4.384101791672203}",22.0,,4.337490558173926,4.384101791672203,45,47426.39424300069,1053.9198720666818,google/gemma-4-31b-it,aggressive,standard,0.0,Growth Department,profit,
centralized_risk_averse,0,74.01812278214193,68.44912881990572,False,,20,110.0,21.787974230059096,108.93987115029547,0.3392412319054472,0.424051539881809,1.0601288497045225,120,20,91.2801205479991,0.95,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 22.0, 'Risk Department': 20.939871150295478}",22.0,,22.0,20.939871150295478,100,91276.83812099713,912.7683812099713,google/gemma-4-31b-it,aggressive,standard,4.0,Risk Department,risk_averse,
structured_debate,0,25.621016141561558,37.14576875768958,False,,20,151.0,25.80211348797524,129.0105674398762,9.545445559321031,9.518197695807764,23.66960218563267,300,40,112.76117774399972,0.9,"{'Growth Department': 33.0, 'Trading/Opportunity Team': 33.0, 'Investment Department': 33.0, 'Operations Department': 9.33039781436733, 'Risk Department': 20.68016962550889}",33.0,,9.33039781436733,20.68016962550889,100,112757.57036401046,1127.5757036401046,google/gemma-4-31b-it,aggressive,standard,,,,
llm_centralized,0,31.535002039873383,49.31519718183209,False,,20,157.0,29.285875871471376,146.42937935735688,12.781527778092295,12.216309403489594,29.313927970433724,120,20,230.83416692100218,1.0,"{'Growth Department': 37.0, 'Trading/Opportunity Team': 40.0, 'Investment Department': 40.0, 'Operations Department': 10.686072029566278, 'Risk Department': 18.743307327790593}",39.0,,10.686072029566278,18.743307327790593,120,230829.4154469986,1923.5784620583217,google/gemma-4-31b-it,aggressive,standard,,,,
crewai_debate,0,5.4612557991181045,35.00397804348712,False,,20,161.0,27.065912296893753,135.32956148446877,13.240016343527172,13.236974463684668,33.07966363151359,220,60,1099.6315187479995,0.9,"{'Growth Department': 37.0, 'Trading/Opportunity Team': 37.0, 'Investment Department': 37.0, 'Operations Department': 3.920336368486411, 'Risk Department': 20.40922511598236}",37.0,,3.920336368486411,20.40922511598236,320,1099628.0076699876,3436.337523968711,google/gemma-4-31b-it,aggressive,standard,,,,
independent,0,37.0987364564759,48.3117398652651,False,,20,154.0,28.686940572720165,143.43470286360082,13.214527854810536,15.685086744694454,40.0,0,0,127.61600814299891,0.0,"{'Growth Department': 60.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 22.59079909256585, 'Risk Department': 20.843903771034984}",60.0,20.0,22.59079909256585,20.843903771034984,100,127612.67859700092,1276.1267859700092,google/gemma-4-31b-it,conservative,standard,,,,
centralized_profit,0,51.85024535596958,56.96432921940705,False,,20,142.0,28.100783335062196,140.503916675311,9.521661400752498,9.523956412248092,20.0,120,20,106.52264536499933,0.95,"{'Growth Department': 40.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 39.51038375470311, 'Risk Department': 20.993532920607873}",40.0,20.0,39.51038375470311,20.993532920607873,100,106519.3510069912,1065.193510069912,google/gemma-4-31b-it,conservative,standard,0.0,Growth Department,profit,
centralized_sustainability,0,74.95615627857127,71.77759681331392,False,,20,100.0,19.782743014212365,98.91371507106183,0.34761117726021323,0.43451397157526656,1.0862849289381664,120,20,97.11224139299884,1.0,"{'Growth Department': 20.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 20.0, 'Risk Department': 18.913715071061834}",20.0,20.0,20.0,18.913715071061834,100,97109.02449200512,971.0902449200512,google/gemma-4-31b-it,conservative,standard,1.0,Compliance Department,sustainability,
centralized_risk_averse,0,74.44472174500655,69.87103883171632,False,,20,106.0,20.98751336901456,104.93756684507281,0.96,0.8947757617489792,2.0,120,20,105.40948898900024,0.95,"{'Growth Department': 22.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 22.0, 'Risk Department': 20.93756684507281}",22.0,20.0,22.0,20.93756684507281,100,105406.13317101088,1054.0613317101088,google/gemma-4-31b-it,conservative,standard,4.0,Risk Department,risk_averse,
structured_debate,0,32.73506511076856,47.26816187420468,False,,20,157.0,29.031579904772553,145.15789952386277,13.494160880526934,15.56693199497958,40.0,300,40,131.15590996099854,0.0,"{'Growth Department': 60.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 24.33850550329334, 'Risk Department': 20.81939402056943}",60.0,20.0,24.33850550329334,20.81939402056943,100,131152.337360003,1311.52337360003,google/gemma-4-31b-it,conservative,standard,,,,
llm_centralized,0,52.97420701743546,58.32571623143114,False,,20,139.0,27.563868181006733,137.81934090503367,9.749689443730153,9.702016923815368,21.038739372759924,120,20,217.52800169699913,1.0,"{'Growth Department': 40.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 38.858080277793604, 'Risk Department': 18.961260627240076}",40.0,20.0,38.858080277793604,18.961260627240076,120,217522.9372339818,1812.6911436165149,google/gemma-4-31b-it,conservative,standard,,,,
crewai_debate,0,52.36069054304463,58.11339357243046,False,,20,139.0,27.548462990983744,137.74231495491873,9.734967613064406,9.682071650032812,21.033744208911262,220,60,1094.6005615130016,1.0,"{'Growth Department': 40.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 38.77605916383, 'Risk Department': 18.966255791088738}",40.0,20.0,38.77605916383,18.966255791088738,320,1094597.1415389976,3420.6160673093677,google/gemma-4-31b-it,conservative,standard,,,,
independent,0,4.68924115585633,44.29837055071379,True,8.0,9,108.0,14.78636113358167,73.93180566790835,17.530911093134662,16.03478802448257,46.5,0,0,66.3372350339996,0.0,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Compliance Department': -11.0, 'Operations Department': 5.43180566790835, 'Saboteur Department': 35.5}",22.0,-11.0,5.43180566790835,,45,66335.82678901439,1474.12948420032,google/gemma-4-31b-it,free_rider,standard,,,,35.5
