mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,leader_index,leader_name,leader_role
independent,standard,standard,openai/gpt-5.4-nano,0.4089363957263261,,37.83363523631661,,15.0,,138.0,,13.779293587162405,,68.89646793581203,,22.4530737267364,,20.426166822258242,,53.0,,0.0,,0.0,,62.390683532001276,,0.0,,1.0,37.0,,-15.0,,1.6682892078975033,,8.228178727914528,,75.0,62388.194213988754,831.8425895198501,,,
centralized_profit,standard,standard,openai/gpt-5.4-nano,4.184341442122031,,38.02128525723364,,17.0,,149.0,,16.77272468372979,,83.86362341864896,,19.430338324179296,,17.84630568035679,,45.0,,102.0,,17.0,,66.56404693300283,,0.4117647058823529,,1.0,37.5,,-7.0,,5.560385473879407,,10.303237944769549,,85.0,66561.152389997,783.0723810587883,0.0,Growth Department,profit
centralized_sustainability,standard,standard,openai/gpt-5.4-nano,74.48714210300155,,70.29802387757877,,20.0,,104.0,,20.564984047002273,,102.82492023501136,,0.6960255247963641,,0.8700319059954551,,2.175079764988638,,120.0,,20.0,,77.17242849000104,,1.0,,0.0,21.0,,21.0,,21.0,,18.824920235011362,,100.0,77168.94602499815,771.6894602499815,2.0,Compliance Department,sustainability
centralized_risk_averse,standard,standard,openai/gpt-5.4-nano,73.7690434299898,,70.09360831646435,,20.0,,104.0,,20.56165430287111,,102.80827151435554,,0.5413531154062252,,0.5402743807621008,,1.1917284856444539,,120.0,,20.0,,82.24582869399819,,1.0,,0.0,21.0,,20.0,,21.0,,19.808271514355546,,100.0,82242.26437302423,822.4226437302423,4.0,Risk Department,risk_averse
structured_debate,standard,standard,openai/gpt-5.4-nano,4.307946904999977,,37.84183296499411,,18.0,,154.0,,17.526868998604012,,87.63434499302006,,20.42749023121279,,18.76139849733282,,46.0,,270.0,,36.0,,70.95087694999893,,0.3333333333333333,,1.0,39.5,,-6.0,,3.328186054920068,,11.3061589381,,90.0,70947.53684000534,788.3059648889482,,,
llm_centralized,standard,standard,openai/gpt-5.4-nano,34.642800375787104,,48.8449863476545,,20.0,,158.0,,29.671281192322738,,148.3564059616137,,7.566446601820448,,7.039204032736506,,17.145145630688898,,120.0,,20.0,,113.41632442400078,,1.0,,0.0,38.0,,23.0,,26.501551592302583,,22.854854369311102,,120.0,113411.50309499062,945.0958591249218,,,
crewai_debate,standard,standard,openai/gpt-5.4-nano,37.21769653268982,,49.65942218010375,,20.0,,153.0,,28.65251683564133,,143.26258417820665,,10.924732127747296,,10.909910923454763,,23.139787899210297,,220.0,,60.0,,398.47297813899786,,0.9,,0.0,42.0,,20.0,,20.402372077416942,,18.860212100789703,,320.0,398469.5481199815,1245.2173378749421,,,
independent,aggressive,standard,openai/gpt-5.4-nano,4.735166271350106,,44.81616325278875,,9.0,,108.0,,14.779651510680822,,73.89825755340411,,8.919526259387021,,8.900394680500975,,19.645296674572997,,0.0,,0.0,,33.6522997869979,,0.0,,1.0,22.0,,,,5.543554227977113,,2.3547033254270033,,45.0,33650.917979011865,747.7981773113747,,,
centralized_profit,aggressive,standard,openai/gpt-5.4-nano,2.725868927880976,,40.82720607438937,,10.0,,112.0,,15.030733418932488,,75.15366709466244,,9.601149310277242,,9.76147592332378,,20.160850283895186,,60.0,,10.0,,34.927560600001016,,0.1,,1.0,23.0,,,,2.8391497161048136,,3.3145173785576194,,50.0,34925.87266199553,698.5174532399105,0.0,Growth Department,profit
centralized_risk_averse,aggressive,standard,openai/gpt-5.4-nano,73.36479496467581,,69.81947715566484,,20.0,,105.0,,20.76178525739197,,103.80892628695986,,0.3811435881728471,,0.4764294852160589,,1.1910737130401472,,120.0,,20.0,,73.58402605900119,,1.0,,0.0,21.0,,,,21.0,,19.808926286959853,,100.0,73580.68800799083,735.8068800799083,4.0,Risk Department,risk_averse
structured_debate,aggressive,standard,openai/gpt-5.4-nano,15.526821394415943,,36.28246608238307,,20.0,,157.0,,26.679372704477874,,133.39686352238937,,11.479398729937216,,11.056494866362245,,27.143105584496965,,300.0,,40.0,,70.84825178100073,,0.85,,0.0,35.333333333333336,,,,8.856894415503033,,18.539969106886343,,100.0,70844.76268701837,708.4476268701837,,,
llm_centralized,aggressive,standard,openai/gpt-5.4-nano,0.0,,40.200141648430325,,14.0,,136.0,,18.867810228828386,,94.33905114414193,,11.05950363387458,,10.11774901489308,,31.06094885585807,,84.0,,14.0,,76.52360020600099,,1.0,,1.0,19.666666666666668,,,,2.139051144141934,,33.2,,84.0,76520.18207298534,910.9545484879206,,,
crewai_debate,aggressive,standard,openai/gpt-5.4-nano,1.5700313085534248,,39.70821033466431,,15.0,,138.0,,18.994810496827334,,94.97405248413666,,11.40212730526364,,10.857882093044081,,26.237348142034413,,165.0,,45.0,,303.9130770009979,,0.8666666666666667,,1.0,27.666666666666668,,,,2.7626518579655883,,9.211400626171068,,240.0,303910.5331489918,1266.2938881207992,,,
independent,conservative,standard,openai/gpt-5.4-nano,41.139615273412126,,50.797165916828774,,20.0,,150.0,,28.313590615646177,,141.5679530782309,,13.604470054976627,,15.894380098239346,,41.15332825512435,,0.0,,0.0,,78.6877737520008,,0.0,,0.0,60.0,,20.0,,22.721281333355222,,18.846671744875653,,100.0,78684.46507800036,786.8446507800036,,,
centralized_profit,conservative,standard,openai/gpt-5.4-nano,56.86317117935229,,60.4571011307321,,20.0,,134.0,,26.589826580668387,,132.94913290334193,,8.496277470930579,,8.508528072920962,,18.05086709665806,,120.0,,20.0,,73.72548203800034,,0.95,,0.0,37.0,,20.0,,37.0,,18.94913290334194,,100.0,73722.11312499348,737.2211312499348,0.0,Growth Department,profit
centralized_sustainability,conservative,standard,openai/gpt-5.4-nano,74.61289299077524,,70.68078318306694,,20.0,,103.0,,20.36946754158355,,101.84733770791775,,0.8488519334663226,,0.8539436794273226,,2.1526622920822582,,120.0,,20.0,,75.34934760399847,,1.0,,0.0,21.0,,20.5,,21.0,,18.84733770791774,,100.0,75346.02747398822,753.4602747398822,1.0,Compliance Department,sustainability
centralized_risk_averse,conservative,standard,openai/gpt-5.4-nano,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106183,,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,120.0,,20.0,,75.58895698999913,,1.0,,0.0,20.0,,20.0,,20.0,,18.913715071061834,,100.0,75585.66432600492,755.8566432600492,4.0,Risk Department,risk_averse
structured_debate,conservative,standard,openai/gpt-5.4-nano,31.49803233892156,,48.582980648964515,,20.0,,157.0,,29.15853637921183,,145.79268189605915,,14.321201077307183,,15.694417707612823,,41.23827494570358,,300.0,,40.0,,74.88658031999876,,0.0,,0.0,60.0,,20.0,,27.030956841762745,,18.761725054296416,,100.0,74882.88782696327,748.8288782696327,,,
llm_centralized,conservative,standard,openai/gpt-5.4-nano,47.32978773779969,,57.03911311086431,,20.0,,144.0,,28.35218349329199,,141.76091746645994,,10.414800485725346,,9.85232181642791,,25.110528523107824,,120.0,,20.0,,117.84823887300081,,0.7,,0.0,44.0,,21.5,,35.87144598956776,,18.889471476892176,,120.0,117843.54062798957,982.0295052332464,,,
crewai_debate,conservative,standard,openai/gpt-5.4-nano,51.90816103285937,,57.63773409471503,,20.0,,140.0,,27.714988314629068,,138.57494157314534,,9.862843891776242,,9.540590791454395,,22.02261091681873,,220.0,,60.0,,407.27109181000196,,0.95,,0.0,41.0,,20.5,,37.59755248996406,,18.97738908318127,,320.0,407267.6786549855,1272.7114957968297,,,
independent,free_rider,standard,openai/gpt-5.4-nano,0.0,,41.26250408260621,,10.0,,116.0,,16.17803478545501,,80.89017392727506,,19.21757217163599,,17.386715650677033,,50.0,,0.0,,0.0,,37.50204488900272,,0.0,,1.0,23.5,,-10.0,,3.890173927275061,,,,50.0,37500.44347600851,750.0088695201703,,,
centralized_profit,free_rider,standard,openai/gpt-5.4-nano,0.0,,40.67008198370577,,10.0,,118.0,,16.548975052338932,,82.74487526169466,,19.560819958128853,,17.82240984708623,,50.0,,60.0,,10.0,,39.88796333799837,,0.0,,1.0,25.0,,-10.0,,2.7448752616946557,,,,50.0,39886.346384995704,797.7269276999141,0.0,Growth Department,profit
centralized_sustainability,free_rider,standard,openai/gpt-5.4-nano,74.2266518310227,,69.83066930185625,,20.0,,105.0,,23.1,,115.5,,3.36,,4.2,,10.5,,120.0,,20.0,,76.68268322899894,,1.0,,0.0,21.0,,21.0,,21.0,,,,100.0,76679.34770899592,766.7934770899592,2.0,Compliance Department,sustainability
structured_debate,free_rider,standard,openai/gpt-5.4-nano,0.0,,34.14430588768646,,20.0,,166.0,,21.21694196220998,,106.08470981104989,,27.986446430232018,,25.4756535735241,,70.0,,300.0,,40.0,,79.92504180600008,,0.85,,1.0,33.5,,-15.0,,-0.9152901889501095,,,,100.0,79921.49084798075,799.2149084798075,,,
llm_centralized,free_rider,standard,openai/gpt-5.4-nano,24.269229765183226,,47.400945091953574,,20.0,,163.0,,32.36289440910544,,161.81447204552717,,5.019368945431311,,4.6390148591002625,,14.185527954472846,,120.0,,20.0,,106.07544769800006,,1.0,,0.0,36.5,,33.0,,25.814472045527154,,,,120.0,106070.72503200106,883.9227086000088,,,
crewai_debate,free_rider,standard,openai/gpt-5.4-nano,4.311213179082985,,39.72121943052126,,14.0,,134.0,,18.618599555692796,,93.09299777846398,,17.34512035544576,,16.27933893938421,,41.5,,154.0,,42.0,,279.7577040169999,,0.8571428571428571,,1.0,29.5,,-6.0,,4.59299777846398,,,,224.0,279755.25438699697,1248.9073856562366,,,
