mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
independent,0,0.4089363957263261,37.83363523631661,True,14.0,15,138.0,13.779293587162405,68.89646793581203,22.4530737267364,20.426166822258242,53.0,0,0,62.390683532001276,0.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 38.0, 'Compliance Department': -15.0, 'Operations Department': 1.6682892078975033, 'Risk Department': 8.228178727914528}",37.0,-15.0,1.6682892078975033,8.228178727914528,75,62388.194213988754,831.8425895198501,openai/gpt-5.4-nano,standard,standard,,,,
centralized_profit,0,4.184341442122031,38.02128525723364,True,16.0,17,149.0,16.77272468372979,83.86362341864896,19.430338324179296,17.84630568035679,45.0,102,17,66.56404693300283,0.4117647058823529,"{'Growth Department': 38.0, 'Trading/Opportunity Team': 37.0, 'Compliance Department': -7.0, 'Operations Department': 5.560385473879407, 'Risk Department': 10.303237944769549}",37.5,-7.0,5.560385473879407,10.303237944769549,85,66561.152389997,783.0723810587883,openai/gpt-5.4-nano,standard,standard,0.0,Growth Department,profit,
centralized_sustainability,0,74.48714210300155,70.29802387757877,False,,20,104.0,20.564984047002273,102.82492023501136,0.6960255247963641,0.8700319059954551,2.175079764988638,120,20,77.17242849000104,1.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 21.0, 'Compliance Department': 21.0, 'Operations Department': 21.0, 'Risk Department': 18.824920235011362}",21.0,21.0,21.0,18.824920235011362,100,77168.94602499815,771.6894602499815,openai/gpt-5.4-nano,standard,standard,2.0,Compliance Department,sustainability,
centralized_risk_averse,0,73.7690434299898,70.09360831646435,False,,20,104.0,20.56165430287111,102.80827151435554,0.5413531154062252,0.5402743807621008,1.1917284856444539,120,20,82.24582869399819,1.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 21.0, 'Compliance Department': 20.0, 'Operations Department': 21.0, 'Risk Department': 19.808271514355546}",21.0,20.0,21.0,19.808271514355546,100,82242.26437302423,822.4226437302423,openai/gpt-5.4-nano,standard,standard,4.0,Risk Department,risk_averse,
structured_debate,0,4.307946904999977,37.84183296499411,True,17.0,18,154.0,17.526868998604012,87.63434499302006,20.42749023121279,18.76139849733282,46.0,270,36,70.95087694999893,0.3333333333333333,"{'Growth Department': 40.0, 'Trading/Opportunity Team': 39.0, 'Compliance Department': -6.0, 'Operations Department': 3.328186054920068, 'Risk Department': 11.3061589381}",39.5,-6.0,3.328186054920068,11.3061589381,90,70947.53684000534,788.3059648889482,openai/gpt-5.4-nano,standard,standard,,,,
llm_centralized,0,34.642800375787104,48.8449863476545,False,,20,158.0,29.671281192322738,148.3564059616137,7.566446601820448,7.039204032736506,17.145145630688898,120,20,113.41632442400078,1.0,"{'Growth Department': 40.0, 'Trading/Opportunity Team': 36.0, 'Compliance Department': 23.0, 'Operations Department': 26.501551592302583, 'Risk Department': 22.854854369311102}",38.0,23.0,26.501551592302583,22.854854369311102,120,113411.50309499062,945.0958591249218,openai/gpt-5.4-nano,standard,standard,,,,
crewai_debate,0,37.21769653268982,49.65942218010375,False,,20,153.0,28.65251683564133,143.26258417820665,10.924732127747296,10.909910923454763,23.139787899210297,220,60,398.47297813899786,0.9,"{'Growth Department': 42.0, 'Trading/Opportunity Team': 42.0, 'Compliance Department': 20.0, 'Operations Department': 20.402372077416942, 'Risk Department': 18.860212100789703}",42.0,20.0,20.402372077416942,18.860212100789703,320,398469.5481199815,1245.2173378749421,openai/gpt-5.4-nano,standard,standard,,,,
independent,0,4.735166271350106,44.81616325278875,True,8.0,9,108.0,14.779651510680822,73.89825755340411,8.919526259387021,8.900394680500975,19.645296674572997,0,0,33.6522997869979,0.0,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 5.543554227977113, 'Risk Department': 2.3547033254270033}",22.0,,5.543554227977113,2.3547033254270033,45,33650.917979011865,747.7981773113747,openai/gpt-5.4-nano,aggressive,standard,,,,
centralized_profit,0,2.725868927880976,40.82720607438937,True,9.0,10,112.0,15.030733418932488,75.15366709466244,9.601149310277242,9.76147592332378,20.160850283895186,60,10,34.927560600001016,0.1,"{'Growth Department': 23.0, 'Trading/Opportunity Team': 23.0, 'Investment Department': 23.0, 'Operations Department': 2.8391497161048136, 'Risk Department': 3.3145173785576194}",23.0,,2.8391497161048136,3.3145173785576194,50,34925.87266199553,698.5174532399105,openai/gpt-5.4-nano,aggressive,standard,0.0,Growth Department,profit,
centralized_risk_averse,0,73.36479496467581,69.81947715566484,False,,20,105.0,20.76178525739197,103.80892628695986,0.3811435881728471,0.4764294852160589,1.1910737130401472,120,20,73.58402605900119,1.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 21.0, 'Investment Department': 21.0, 'Operations Department': 21.0, 'Risk Department': 19.808926286959853}",21.0,,21.0,19.808926286959853,100,73580.68800799083,735.8068800799083,openai/gpt-5.4-nano,aggressive,standard,4.0,Risk Department,risk_averse,
