mechanism,composition,scale,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,leader_index,leader_name,leader_role
independent,standard,standard,1.322172143769162,1.5847662283672799,42.018575193731905,2.652678684055008,22.5,3.3638949855315357,214.95,32.590723575242926,29.48243490553479,6.235095135346728,147.41217452767398,31.175475676733637,24.881396200971658,3.516734104664976,23.13493878549051,3.245298207022382,56.65,8.13876364592378,0.0,0.0,0.0,0.0,0.0011015882002539002,0.00020445797642968983,0.0,0.0,1.0,56.775,9.516571419316273,1.35,7.278483069257884,13.789684377454876,4.9694592057291915,18.722490150219105,4.272160512439058,,,
voting,standard,standard,1.9337557988995804,1.6549195822300398,36.01255304228476,3.746743333872907,25.2,12.1594667473104,226.5,78.22201870654014,28.988065302862367,12.350652499752236,144.94032651431183,61.753262498761174,13.658134746906319,5.41594549566356,13.261480689399269,5.338004347137771,31.275509042944453,12.820638626515219,126.0,60.797333736552,25.2,12.1594667473104,0.0014734385993506293,0.0005956207704844454,1.0,0.0,1.0,40.3,15.644403741308029,13.55,14.482203234532921,12.962166874779948,5.38642303493224,37.828159639531876,15.154641607387457,,,
adaptive_voting,standard,standard,58.13105116475502,10.066782308542091,61.664217337213344,3.060210404066285,100.0,0.0,673.25,19.485149540908814,132.35247661514293,3.716052468325963,661.7623830757145,18.58026234162982,3.180555472857761,1.8569137419559418,3.3770135942728543,1.907706155673723,8.39085478107553,4.971658865076741,500.0,0.0,100.0,0.0,0.004445966799903544,0.0003949098074808452,1.0,0.0,0.0,134.65,3.897029908181763,134.65,3.897029908181763,129.7166768254097,6.597819569391571,128.0957062503048,3.887958877051977,,,
centralized_profit,standard,standard,2.492225358024927,1.5947790373688941,40.998992225398865,3.2902000327721383,30.95,8.444711830177324,268.0,70.02029780901505,38.50223557498509,12.750691459551335,192.51117787492544,63.753457297756675,27.452380289364015,6.033643455476873,25.674254413957367,5.7095421918848865,60.71379096213017,12.343617963355067,185.7,50.66827098106394,30.95,8.444711830177324,0.0015869490502154805,0.00045214874682272257,0.4301924685870275,0.10496888300148254,1.0,68.925,19.439700966944184,9.75,10.886374873884181,17.23760711461976,7.657533827663082,27.673570760305683,9.585083897471137,0.0,Growth Department,profit
centralized_sustainability,standard,standard,67.22264496978154,3.793781215027545,67.38805780357544,0.975925819977257,100.0,0.0,630.25,16.571614919875238,124.96275663566942,3.357945807220098,624.813783178347,16.789729036100496,11.707065906329111,1.4317535946885431,13.327783572616037,1.5481132261955257,34.68294509290395,4.139477683374677,600.0,0.0,100.0,0.0,0.004346516500118014,0.0003842477040131688,0.967,0.016889735281961568,0.0,132.05,4.279387560707354,133.2,4.4081264668074605,128.99672827125096,3.74166086519556,98.51705490709604,1.3297910845798695,2.0,Compliance Department,sustainability
centralized_risk_averse,standard,standard,72.36475119240716,5.166363550081756,73.50220594892059,1.6788045198478936,100.0,0.0,549.6,12.04552766972478,109.14660021471259,2.358094033091772,545.733001073563,11.790470165458867,2.23882222382476,0.6691603316034601,2.0685428460600916,0.5796487014122508,5.366843048822573,1.6680008510602642,600.0,0.0,100.0,0.0,0.0038820281997686834,0.0008597966572009372,0.966,0.015355437918998302,0.0,111.375,2.923925803652199,106.65,1.814415956487898,108.33619067292656,1.7941231018261439,107.9968104006363,2.9389740491879572,4.0,Risk Department,risk_averse
structured_debate,standard,standard,2.5575982441845637,1.7713227186370057,44.60569740117442,2.98904597223778,35.35,11.412251034927795,300.85,92.72442192352904,45.470976129977494,17.653850940164524,227.3548806498875,88.26925470082261,27.73295490628056,6.023070644852124,25.51331790768719,5.417969280399849,64.85,14.165469505660216,530.25,171.18376552391692,70.7,22.82450206985559,0.0014283108501331298,0.0004323246211678978,0.4918466367929869,0.13963700609463325,1.0,74.95,23.280836935579714,11.55,12.991799032669153,34.326950925878165,18.602294098363007,31.577929724009312,12.294972445754096,,,
independent,aggressive,standard,2.4963213479772657,1.7602957186565336,41.79023830236979,2.4442981568033177,16.05,2.0124611797498106,176.85,21.590141512419873,27.116389157313954,4.053212737720226,135.58194578656975,20.26606368860113,14.255159027301422,1.8845802526479254,13.86470625565244,1.905542552429873,31.52668970720365,4.139788429102758,0.0,0.0,0.0,0.0,0.0005954074000328547,0.00014745804003100368,0.0,0.0,1.0,38.33333333333333,5.435426353941594,,,8.582019359610207,3.243840742887226,11.999926426959544,2.8061506443026114,,,
voting,aggressive,standard,1.4724429288351606,1.8186498957897912,40.914296890806185,1.7776132041705714,11.45,1.538112308540638,153.25,15.999588810505823,23.068380074368342,3.0310967076168462,115.34190037184172,15.155483538084233,3.810951267546926,0.4435484330295351,4.23680181710304,0.5386883733242365,10.910345794010004,1.3753105628025803,57.25,7.69056154270319,11.45,1.538112308540638,0.0005340310997780761,8.347036718974321e-05,1.0,0.0,1.0,25.65,3.199917762101164,,,14.739654205989996,2.5586155043467,23.65224616585172,3.1899729411584374,,,
adaptive_voting,aggressive,standard,3.113572405811964,1.3734905149392833,35.122595707944384,3.8673883018144237,35.6,17.578096418105417,290.25,122.19995477645817,44.896724926275255,21.170553235858378,224.48362463137624,105.8527661792919,12.571394330025761,5.554326222458474,14.873645511586915,6.695216417221046,37.804839194037264,16.94114968799311,178.0,87.89048209052709,35.6,17.578096418105417,0.0012027010496240109,0.0005423251100994033,0.9992063492063492,0.003549314249999678,1.0,53.05,24.439990955291634,,,15.245160805962726,10.98489106901581,50.08846382541354,23.516831533012382,,,
