mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
independent,0,1.0976743872556263,36.600500703306615,True,14.0,15,137.0,13.416408902382788,67.08204451191394,21.270385436132987,19.233113141196718,50.0,0,0,0.001099475000955863,0.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 34.0, 'Compliance Department': -14.0, 'Operations Department': 1.0600910241688215, 'Risk Department': 10.021953487745112}",35.0,-14.0,1.0600910241688215,10.021953487745112,standard,standard,,,,
independent,1,0.735273892305063,40.002073924466245,True,21.0,22,206.0,25.621175302843803,128.105876514219,26.225412634180334,23.758701104343793,62.0,0,0,0.0009595090014045127,0.0,"{'Growth Department': 54.0, 'Trading/Opportunity Team': 51.0, 'Compliance Department': -8.0, 'Operations Department': 11.091171036372913, 'Risk Department': 20.014705477846107}",52.5,-8.0,11.091171036372913,20.014705477846107,standard,standard,,,,
independent,2,0.0,46.52796104765699,True,24.0,25,245.0,37.39003303395859,186.95016516979294,23.68,22.461688404562132,54.0,0,0,0.0010075309983221814,0.0,"{'Growth Department': 62.0, 'Trading/Opportunity Team': 67.0, 'Compliance Department': 13.0, 'Operations Department': 22.950165169792932, 'Risk Department': 22.000000000000004}",64.5,13.0,22.950165169792932,22.000000000000004,standard,standard,,,,
independent,3,3.380237681554563,43.535320900813275,True,24.0,25,241.0,35.02909780507126,175.1454890253563,25.109183239419025,23.71346340031547,58.0,0,0,0.00148630599869648,0.0,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 61.0, 'Compliance Department': 8.0, 'Operations Department': 20.07788427172522, 'Risk Department': 20.067604753631095}",63.5,8.0,20.07788427172522,20.067604753631095,standard,standard,,,,
independent,4,4.129588827017352,41.709043888534886,True,24.0,25,237.0,33.826792633206516,169.13396316603257,26.07178057768125,24.32620972632192,58.0,0,0,0.001215770000271732,0.0,"{'Growth Department': 61.0, 'Trading/Opportunity Team': 65.0, 'Compliance Department': 7.0, 'Operations Department': 14.051371389492209, 'Risk Department': 22.082591776540355}",63.0,7.0,14.051371389492209,22.082591776540355,standard,standard,,,,
independent,5,4.0166061409676175,46.99210511167708,True,15.0,16,159.0,22.558947748153365,112.79473874076683,16.467146860348905,15.43389162551666,36.0,0,0,0.0007164759990700986,0.0,"{'Growth Department': 41.0, 'Trading/Opportunity Team': 41.0, 'Compliance Department': 5.0, 'Operations Department': 15.714406617947468, 'Risk Department': 10.080332122819351}",41.0,5.0,15.714406617947468,10.080332122819351,standard,standard,,,,
independent,6,4.043284633243145,41.28344285354797,True,24.0,25,242.0,34.76142628831765,173.80713144158827,27.563797480172262,26.24449561483781,60.0,0,0,0.001273723002668703,0.0,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 67.0, 'Compliance Department': 7.0, 'Operations Department': 13.726265748923385, 'Risk Department': 20.080865692664865}",66.5,7.0,13.726265748923385,20.080865692664865,standard,standard,,,,
independent,7,0.0,42.85058558761021,True,18.0,19,179.0,22.01707737038554,110.0853868519277,23.18633810369157,21.222424688453113,55.0,0,0,0.0010633390011207666,0.0,"{'Growth Department': 48.0, 'Trading/Opportunity Team': 45.0, 'Compliance Department': -7.0, 'Operations Department': 10.085386851927701, 'Risk Department': 13.999999999999996}",46.5,-7.0,10.085386851927701,13.999999999999996,standard,standard,,,,
independent,8,0.059775138912479875,40.181394674181476,True,22.0,23,221.0,29.61686625002155,148.08433125010774,27.34669828042728,24.90887769724495,63.0,0,0,0.0009720240013848525,0.0,"{'Growth Department': 57.0, 'Trading/Opportunity Team': 60.0, 'Compliance Department': -3.0, 'Operations Department': 12.08313574732949, 'Risk Department': 22.001195502778252}",58.5,-3.0,12.08313574732949,22.001195502778252,standard,standard,,,,
independent,9,0.6615724463162564,41.49007713610823,True,23.0,24,229.0,31.217992077683174,156.08996038841588,27.347723369681667,25.487130540474666,63.0,0,0,0.0010122540006705094,0.0,"{'Growth Department': 63.0, 'Trading/Opportunity Team': 60.0, 'Compliance Department': 0.0, 'Operations Department': 15.076728939489566, 'Risk Department': 18.013231448926323}",61.5,0.0,15.076728939489566,18.013231448926323,standard,standard,,,,
independent,10,0.2553595081780653,40.44250412710081,True,23.0,24,230.0,31.214376795628688,156.07188397814343,26.70931571392322,24.915823359734635,59.0,0,0,0.0009456369989493396,0.0,"{'Growth Department': 60.0, 'Trading/Opportunity Team': 62.0, 'Compliance Department': 3.0, 'Operations Department': 11.066776787979876, 'Risk Department': 20.005107190163564}",61.0,3.0,11.066776787979876,20.005107190163564,standard,standard,,,,
independent,11,0.0,41.01507121726889,True,23.0,24,227.0,31.10507396843198,155.5253698421599,28.555940825254414,26.485501603057187,66.0,0,0,0.0015928499997244217,0.0,"{'Growth Department': 62.0, 'Trading/Opportunity Team': 62.0, 'Compliance Department': -4.0, 'Operations Department': 15.5253698421599, 'Risk Department': 20.0}",62.0,-4.0,15.5253698421599,20.0,standard,standard,,,,
independent,12,1.321544045796962,40.86226274734026,True,26.0,27,254.0,34.68419286333398,173.4209643166699,32.256874650279364,29.70426479121213,73.0,0,0,0.0011328929977025837,0.0,"{'Growth Department': 70.0, 'Trading/Opportunity Team': 69.0, 'Compliance Department': -3.0, 'Operations Department': 13.394533435753976, 'Risk Department': 24.02643088091594}",69.5,-3.0,13.394533435753976,24.02643088091594,standard,standard,,,,
independent,13,1.8665097445770567,40.43688111362326,True,23.0,24,233.0,33.14175142008229,165.70875710041145,25.96036031782664,24.25860281079036,58.0,0,0,0.0010175219977099914,0.0,"{'Growth Department': 62.0, 'Trading/Opportunity Team': 62.0, 'Compliance Department': 4.0, 'Operations Department': 15.747748013583498, 'Risk Department': 21.961009086827943}",62.0,4.0,15.747748013583498,21.961009086827943,standard,standard,,,,
independent,14,0.0,45.35884006548338,True,19.0,20,193.0,25.07473869750782,125.37369348753909,21.76,20.01066026725494,52.0,0,0,0.0013218000021879561,0.0,"{'Growth Department': 49.0, 'Trading/Opportunity Team': 47.0, 'Compliance Department': -3.0, 'Operations Department': 17.373693487539086, 'Risk Department': 14.999999999999996}",48.0,-3.0,17.373693487539086,14.999999999999996,standard,standard,,,,
independent,15,0.16830714862322615,40.15892165227322,True,26.0,27,255.0,36.13698885934331,180.68494429671657,28.53094749540094,26.468976365086355,64.0,0,0,0.0012314609994064085,0.0,"{'Growth Department': 68.0, 'Trading/Opportunity Team': 67.0, 'Compliance Department': 4.0, 'Operations Department': 16.6815781537441, 'Risk Department': 25.003366142972464}",67.5,4.0,16.6815781537441,25.003366142972464,standard,standard,,,,
independent,16,1.1031970094886834,41.85741563699512,True,22.0,23,221.0,33.29337465823211,166.46687329116054,22.48839134463476,21.90013155731581,49.0,0,0,0.0010306420008419082,0.0,"{'Growth Department': 58.0, 'Trading/Opportunity Team': 62.0, 'Compliance Department': 13.0, 'Operations Department': 15.447554096032741, 'Risk Department': 18.019319195127807}",60.0,13.0,15.447554096032741,18.019319195127807,standard,standard,,,,
independent,17,3.6045122711471453,39.37625026553337,True,17.0,18,174.0,21.83981918746524,109.19909593732619,21.259679089295478,19.85531359183458,46.0,0,0,0.0009014170027512591,0.0,"{'Growth Department': 46.0, 'Trading/Opportunity Team': 45.0, 'Compliance Department': 0.0, 'Operations Department': 4.127005691903253, 'Risk Department': 14.072090245422944}",45.5,0.0,4.127005691903253,14.072090245422944,standard,standard,,,,
independent,18,0.0,43.62355315624375,True,20.0,21,193.0,24.645917893427534,123.22958946713767,23.963265685257976,21.915549340533847,57.0,0,0,0.000979325999651337,0.0,"{'Growth Department': 52.0, 'Trading/Opportunity Team': 48.0, 'Compliance Department': -5.0, 'Operations Department': 12.229589467137675, 'Risk Department': 16.0}",50.0,-5.0,12.229589467137675,16.0,standard,standard,,,,
independent,19,0.0,46.067298064873064,True,22.0,23,223.0,33.05664635521873,165.28323177609366,21.874682915825016,20.393956079723136,50.0,0,0,0.0010718090015870985,0.0,"{'Growth Department': 55.0, 'Trading/Opportunity Team': 60.0, 'Compliance Department': 10.0, 'Operations Department': 18.283231776093672, 'Risk Department': 21.999999999999996}",57.5,10.0,18.283231776093672,21.999999999999996,standard,standard,,,,
voting,0,2.9096896099212577,36.24670609239421,True,9.0,10,110.0,10.249970420220414,51.24985210110207,8.289334670575416,7.9422043313282265,20.0,50,10,0.0012168319990450982,1.0,"{'Growth Department': 17.0, 'Trading/Opportunity Team': 17.0, 'Compliance Department': -3.0, 'Operations Department': 5.191658308903646, 'Risk Department': 15.058193792198423}",17.0,-3.0,5.191658308903646,15.058193792198423,standard,standard,,,,
voting,1,0.0,34.25805233189058,True,21.0,22,205.0,25.32820347740131,126.64101738700656,12.394290075867204,12.232851002395279,26.232156487085014,110,22,0.0014115550002316013,1.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 36.0, 'Compliance Department': 11.0, 'Operations Department': 9.767843512914984, 'Risk Department': 33.87317387409158}",36.0,11.0,9.767843512914984,33.87317387409158,standard,standard,,,,
voting,2,0.0,35.17863912769927,True,22.0,23,230.0,29.19284145039611,145.96420725198055,13.874808592203049,13.580551851678578,30.0,115,23,0.002320803003385663,1.0,"{'Growth Department': 41.0, 'Trading/Opportunity Team': 41.0, 'Compliance Department': 11.0, 'Operations Department': 14.282446298730964, 'Risk Department': 38.68176095324961}",41.0,11.0,14.282446298730964,38.68176095324961,standard,standard,,,,
voting,3,3.837859794820334,35.29659411417006,True,24.0,25,230.0,32.0000028255813,160.0000141279065,11.30618979567057,10.948174170282718,27.83184311147053,125,25,0.0015910249967419077,1.0,"{'Growth Department': 41.0, 'Trading/Opportunity Team': 41.0, 'Compliance Department': 26.0, 'Operations Department': 13.16815688852947, 'Risk Department': 38.83185723937702}",41.0,26.0,13.16815688852947,38.83185723937702,standard,standard,,,,
voting,4,1.0845229705214052,37.16683626002199,True,30.0,31,270.0,36.60601725232968,183.0300862616484,14.23187728404898,13.993774065461343,30.0,155,31,0.0015204970004560892,1.0,"{'Growth Department': 49.0, 'Trading/Opportunity Team': 49.0, 'Compliance Department': 19.0, 'Operations Department': 20.050766974693868, 'Risk Department': 45.97931928695453}",49.0,19.0,20.050766974693868,45.97931928695453,standard,standard,,,,
voting,5,1.9586233546728238,35.45916553880838,True,14.0,15,155.0,17.077845150916744,85.38922575458372,10.806727271037762,10.382473322456821,25.0,75,15,0.000822922997031128,1.0,"{'Growth Department': 26.0, 'Trading/Opportunity Team': 26.0, 'Compliance Department': 1.0, 'Operations Department': 8.457954556013995, 'Risk Department': 23.931271198569725}",26.0,1.0,8.457954556013995,23.931271198569725,standard,standard,,,,
voting,6,2.367398052861308,34.15274063342771,True,62.0,63,465.0,67.30366827246006,336.5183413623003,26.19655789802519,25.46769799407522,64.36424343132872,315,63,0.003279049997217953,1.0,"{'Growth Department': 88.0, 'Trading/Opportunity Team': 88.0, 'Compliance Department': 53.0, 'Operations Department': 23.63575656867128, 'Risk Department': 83.88258479362902}",88.0,53.0,23.63575656867128,83.88258479362902,standard,standard,,,,
voting,7,2.451245447696671,36.17485651598059,True,18.0,19,170.0,18.474547338830966,92.37273669415484,12.88569817564375,12.427072509048804,30.0,95,19,0.0009649900021031499,1.0,"{'Growth Department': 29.0, 'Trading/Opportunity Team': 29.0, 'Compliance Department': -1.0, 'Operations Department': 8.464386402226559, 'Risk Department': 26.90835029192828}",29.0,-1.0,8.464386402226559,26.90835029192828,standard,standard,,,,
voting,8,0.0,33.003631556018206,True,38.0,39,325.0,45.59441513294288,227.9720756647144,18.111421651980365,17.553515584967666,44.09819266243864,195,39,0.002070597998681478,1.0,"{'Growth Department': 60.0, 'Trading/Opportunity Team': 60.0, 'Compliance Department': 35.0, 'Operations Department': 15.901807337561358, 'Risk Department': 57.07026832715303}",60.0,35.0,15.901807337561358,57.07026832715303,standard,standard,,,,
voting,9,4.635678687043248,38.796388926838006,True,15.0,16,175.0,21.349245330660274,106.74622665330138,10.606553842169468,10.19872811269193,25.0,80,16,0.0009845649983617477,1.0,"{'Growth Department': 30.0, 'Trading/Opportunity Team': 30.0, 'Compliance Department': 5.0, 'Operations Department': 13.709038486440814, 'Risk Department': 28.037188166860563}",30.0,5.0,13.709038486440814,28.037188166860563,standard,standard,,,,
voting,10,4.036559334314967,34.9755364004612,True,20.0,21,200.0,21.653547957909975,108.26773978954988,16.736887756805785,16.243872741613345,40.0,105,21,0.0010998379984812345,1.0,"{'Growth Department': 35.0, 'Trading/Opportunity Team': 35.0, 'Compliance Department': -5.0, 'Operations Department': 10.394451519963845, 'Risk Department': 32.87328826958604}",35.0,-5.0,10.394451519963845,32.87328826958604,standard,standard,,,,
voting,11,2.9598527688443577,33.93236727082754,True,32.0,33,265.0,33.370797171634386,166.85398585817194,16.85048452261703,16.73278303206664,35.15776413317822,165,33,0.0015186970013019163,1.0,"{'Growth Department': 48.0, 'Trading/Opportunity Team': 48.0, 'Compliance Department': 13.0, 'Operations Department': 12.842235866821778, 'Risk Department': 45.01174999135014}",48.0,13.0,12.842235866821778,45.01174999135014,standard,standard,,,,
voting,12,2.5085905933392496,37.410353573471355,True,16.0,17,190.0,25.99303748887213,129.96518744436065,8.110938552220606,7.7820869454363795,17.846682975689394,85,17,0.001022533997456776,1.0,"{'Growth Department': 33.0, 'Trading/Opportunity Team': 33.0, 'Compliance Department': 18.0, 'Operations Department': 15.153317024310606, 'Risk Department': 30.811870420050035}",33.0,18.0,15.153317024310606,30.811870420050035,standard,standard,,,,
voting,13,1.203233498950679,30.060898306241302,True,42.0,43,330.0,40.21259323361966,201.06296616809828,25.120246101792855,24.532127452087465,56.00076906810268,215,43,0.002056188997812569,1.0,"{'Growth Department': 61.0, 'Trading/Opportunity Team': 61.0, 'Compliance Department': 16.0, 'Operations Department': 4.999230931897321, 'Risk Department': 58.06373523620097}",61.0,16.0,4.999230931897321,58.06373523620097,standard,standard,,,,
voting,14,4.833728353487015,48.41591835885856,True,14.0,15,170.0,25.87216501311918,129.3608250655959,3.483777125964251,3.209202135392027,8.386803518638285,75,15,0.0012120049977966119,1.0,"{'Growth Department': 29.0, 'Trading/Opportunity Team': 29.0, 'Compliance Department': 24.0, 'Operations Department': 20.613196481361715, 'Risk Department': 26.747628584234185}",29.0,24.0,20.613196481361715,26.747628584234185,standard,standard,,,,
voting,15,0.0,34.806269017816916,True,20.0,21,210.0,25.00936433126764,125.0468216563382,14.822233986682404,14.310845509351418,35.0,105,21,0.001136306000262266,1.0,"{'Growth Department': 37.0, 'Trading/Opportunity Team': 37.0, 'Compliance Department': 2.0, 'Operations Department': 14.361037583234982, 'Risk Department': 34.68578407310322}",37.0,2.0,14.361037583234982,34.68578407310322,standard,standard,,,,
voting,16,2.8914414525699534,33.38024599808665,True,27.0,28,240.0,29.07234476724191,145.36172383620953,16.304863761597428,16.00328199425787,35.0,140,28,0.0018322819996683393,1.0,"{'Growth Department': 43.0, 'Trading/Opportunity Team': 43.0, 'Compliance Department': 8.0, 'Operations Department': 11.094601490016071, 'Risk Department': 40.267122346193474}",43.0,8.0,11.094601490016071,40.267122346193474,standard,standard,,,,
voting,17,0.0,34.217706027395856,True,15.0,16,160.0,16.505344598975025,82.52672299487513,12.840451722517887,12.364613258089543,30.0,80,16,0.0009485459995630663,1.0,"{'Growth Department': 27.0, 'Trading/Opportunity Team': 27.0, 'Compliance Department': -3.0, 'Operations Department': 6.74717673426321, 'Risk Department': 24.77954626061192}",27.0,-3.0,6.74717673426321,24.77954626061192,standard,standard,,,,
voting,18,0.9966920589483408,35.640848931727206,True,23.0,24,205.0,26.113739753356064,130.56869876678033,11.846885065687948,11.377861619233895,27.02151583027484,120,24,0.0011602039994613733,1.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 36.0, 'Compliance Department': 16.0, 'Operations Department': 8.97848416972516, 'Risk Department': 33.590214597055166}",36.0,16.0,8.97848416972516,33.590214597055166,standard,standard,,,,
voting,19,0.0,41.6773058635596,True,22.0,23,225.0,32.78161508951159,163.90807544755796,8.342467085018452,7.945896156070243,18.570209640682663,115,23,0.0012993330019526184,1.0,"{'Growth Department': 40.0, 'Trading/Opportunity Team': 40.0, 'Compliance Department': 25.0, 'Operations Department': 21.429790359317337, 'Risk Department': 37.47828508824064}",40.0,25.0,21.429790359317337,37.47828508824064,standard,standard,,,,
adaptive_voting,0,64.44087781724026,61.847384026896144,False,,100,630.0,124.12822094878038,620.6411047439019,2.595201507122367,2.6756686591381658,6.861114163416744,500,100,0.004021452998131281,1.0,"{'Growth Department': 126.0, 'Trading/Opportunity Team': 126.0, 'Compliance Department': 126.0, 'Operations Department': 123.50221890731869, 'Risk Department': 119.13888583658326}",126.0,126.0,123.50221890731869,119.13888583658326,standard,standard,,,,
adaptive_voting,1,59.640933385007955,63.42182584095147,False,,100,655.0,129.66816896051685,648.3408448025842,2.0359442018099663,2.377974099072653,6.065496063896589,500,100,0.004600257998390589,1.0,"{'Growth Department': 131.0, 'Trading/Opportunity Team': 131.0, 'Compliance Department': 131.0, 'Operations Department': 130.4063408664809, 'Risk Department': 124.93450393610341}",131.0,131.0,130.4063408664809,124.93450393610341,standard,standard,,,,
adaptive_voting,2,46.43137311971347,53.507809026826614,False,,100,680.0,129.79673949863556,648.9836974931778,8.88708166698505,9.500706612342954,24.527957911834392,500,100,0.004108375000214437,1.0,"{'Growth Department': 136.0, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 136.0, 'Operations Department': 111.47204208816561, 'Risk Department': 129.51165540501222}",136.0,136.0,111.47204208816561,129.51165540501222,standard,standard,,,,
adaptive_voting,3,47.34463040690768,64.16042510988649,False,,100,695.0,137.3533809339834,686.766904669917,2.4008386383564493,2.6244833527134253,6.772146159644848,500,100,0.004060897001181729,1.0,"{'Growth Department': 139.0, 'Trading/Opportunity Team': 139.0, 'Compliance Department': 139.0, 'Operations Department': 137.5390508295619, 'Risk Department': 132.22785384035515}",139.0,139.0,137.5390508295619,132.22785384035515,standard,standard,,,,
adaptive_voting,4,45.87939519691137,63.27241789292453,False,,100,695.0,137.4281085735848,687.1405428679241,2.2668523009826185,2.443243241205045,6.308369749065463,500,100,0.004761168998811627,1.0,"{'Growth Department': 139.0, 'Trading/Opportunity Team': 139.0, 'Compliance Department': 139.0, 'Operations Department': 137.44891261698956, 'Risk Department': 132.69163025093454}",139.0,139.0,137.44891261698956,132.69163025093454,standard,standard,,,,
