mechanism,recovery_noise_std,shock_probability,crisis_rate,average_reserve_mean,average_reserve_std,steps_survived_mean,total_withdrawal_mean,override_rate_mean,mean_absolute_reward_gap_mean,reward_std_mean,reward_range_mean,leader_index,leader_name,leader_role
independent,0.01,0.0,1.0,42.30634738886539,0.8790084935631349,26.1,249.7,0.0,28.910505880530245,26.865155223615538,66.3,,,
voting,0.01,0.0,1.0,34.38350479703867,1.4762947803744029,36.6,309.5,1.0,19.18326497999596,18.9968365929831,46.45320867770366,,,
adaptive_voting,0.01,0.0,0.0,65.3278220805361,2.0699135035451266,100.0,697.0,1.0,1.9510579238972365,2.3271885839500834,5.870226323185281,,,
centralized_profit,0.01,0.0,1.0,40.31800962785544,1.345372258655819,37.5,323.5,0.42255388206408134,34.20174808110771,31.80350283599996,75.14366066908829,0.0,Growth Department,profit
centralized_sustainability,0.01,0.0,0.0,69.44434169415396,0.32190133271251486,100.0,656.9,0.966,13.546270770479214,15.578732656711233,40.482096157747534,2.0,Compliance Department,sustainability
centralized_risk_averse,0.01,0.0,0.0,76.56293893571954,0.8167462091656837,100.0,552.2,0.9619999999999997,1.9945701091553847,1.8178934850037636,4.7,4.0,Risk Department,risk_averse
structured_debate,0.01,0.0,1.0,45.64817775372084,0.541143834675829,48.0,405.9,0.569907090411642,35.52888430838338,32.607834050155645,82.9,,,
independent,0.01,0.05,1.0,42.09836801546989,2.7932502031476765,23.0,219.9,0.0,25.578340923053904,23.767974134154795,58.5,,,
voting,0.01,0.05,1.0,34.662531506439066,1.56087809993346,26.0,229.5,1.0,15.011354357478023,14.619084537050608,34.87371712897412,,,
adaptive_voting,0.01,0.05,0.0,62.18510962873144,4.240509765686445,100.0,675.0,1.0,3.432273866452951,3.7643814220490137,9.451497547255492,,,
centralized_profit,0.01,0.05,1.0,40.61422409570749,2.9612515339007603,32.1,276.0,0.441165634792568,29.41762259296242,27.28586581781112,65.34794348289891,0.0,Growth Department,profit
centralized_sustainability,0.01,0.05,0.0,67.63525607154355,1.1056236310007135,100.0,635.6,0.967,12.101732017015959,13.751016598069068,35.838112681009804,2.0,Compliance Department,sustainability
centralized_risk_averse,0.01,0.05,0.0,73.82086485746757,2.0231301471047987,100.0,551.2,0.9619999999999997,2.3299607137970204,2.1375553543545234,5.606605503240454,4.0,Risk Department,risk_averse
structured_debate,0.01,0.05,1.0,44.33432857080905,3.4774046949364728,36.8,312.4,0.5178729213111506,29.20531646957745,26.76907260178383,68.7,,,
independent,0.01,0.1,1.0,41.591292066761206,2.8300939049802163,21.0,200.5,0.0,23.76838821732722,21.995949659806566,54.8,,,
voting,0.01,0.1,1.0,36.201480498620825,3.1698598789496897,22.4,204.5,1.0,11.178700487948442,10.83363272107798,26.21697526539586,,,
adaptive_voting,0.01,0.1,0.2,57.08859733473158,5.86605332790153,92.5,605.0,1.0,6.702875692392165,6.650898371303844,15.992725170027665,,,
centralized_profit,0.01,0.1,1.0,40.91850572198946,2.2066147263636444,27.3,237.4,0.3972909877478843,25.11984050729101,23.353748385439307,56.128262997867544,0.0,Growth Department,profit
centralized_sustainability,0.01,0.1,0.0,64.9431981390577,2.774262127459103,100.0,607.5,0.967,10.278975207006646,11.264040052400205,29.54759443239312,2.0,Compliance Department,sustainability
centralized_risk_averse,0.01,0.1,0.0,69.57896364228004,4.202249327438908,100.0,550.0,0.9619999999999997,3.05567930560512,2.7967843986625396,7.334489735243773,4.0,Risk Department,risk_averse
structured_debate,0.01,0.1,1.0,45.1192233248953,3.6751271016895553,29.3,250.2,0.5028313375692407,23.565839927513082,21.482516770956824,55.5,,,
independent,0.05,0.0,1.0,42.599486771212305,1.1416908385191136,25.9,248.1,0.0,28.348593889143977,26.410125355561327,65.0,,,
voting,0.05,0.0,1.0,34.33251331068897,2.5997610325485883,32.1,278.5,1.0,18.94177497246739,18.53397385433329,45.12505868401266,,,
adaptive_voting,0.05,0.0,0.0,65.30845258613361,1.680665926330026,100.0,695.0,1.0,1.946261634961973,2.333086429959269,5.88438241067895,,,
centralized_profit,0.05,0.0,1.0,41.000751737937925,1.3950140191223057,35.8,311.6,0.4127743740907558,32.186555061787224,30.099646593548215,70.5,0.0,Growth Department,profit
centralized_sustainability,0.05,0.0,0.0,69.25245419737938,0.4059943303352572,100.0,654.8,0.967,13.535310562581566,15.58138226854789,40.44784550806739,2.0,Compliance Department,sustainability
centralized_risk_averse,0.05,0.0,0.0,76.34507352618984,0.632366663068513,100.0,552.2,0.9619999999999997,1.990430938203486,1.826071747435081,4.7,4.0,Risk Department,risk_averse
structured_debate,0.05,0.0,1.0,46.029812695689664,1.1483003505190126,45.8,387.5,0.5713804553621007,34.28370826368781,31.462960915210253,80.2,,,
independent,0.05,0.05,1.0,42.117250582790305,3.0854232796822143,21.9,209.6,0.0,24.42684659817353,22.678999594326722,55.9,,,
voting,0.05,0.05,1.0,35.5733611097249,1.6444998325457818,26.3,233.5,1.0,13.870345925722173,13.47270429443866,32.25264356923229,,,
adaptive_voting,0.05,0.05,0.0,61.65223167994283,3.2662279591537993,100.0,675.0,1.0,3.2869902661655965,3.5362064267888784,8.876065082999341,,,
centralized_profit,0.05,0.05,1.0,40.70730591801085,3.410464047116004,29.1,252.7,0.42886577511178947,26.60639852644362,24.759387931165683,59.064665919734026,0.0,Growth Department,profit
centralized_sustainability,0.05,0.05,0.0,67.47967867354804,1.1773559950412034,100.0,631.6,0.967,11.712279010717142,13.342810381492333,34.76237131033399,2.0,Compliance Department,sustainability
centralized_risk_averse,0.05,0.05,0.0,73.44497855312787,2.1593079472669348,100.0,550.8,0.9619999999999997,2.4780292185525914,2.2674347344075825,5.9,4.0,Risk Department,risk_averse
structured_debate,0.05,0.05,1.0,44.799069783515115,3.6628606950995883,32.7,279.7,0.47868180391289367,26.188973954652756,24.05855205757046,61.5,,,
independent,0.05,0.1,1.0,41.42808730035724,2.9581706611411795,20.2,193.5,0.0,22.871943973613888,21.15687532650359,52.7,,,
voting,0.05,0.1,1.0,34.91397088050017,3.3662885159452363,20.7,190.5,1.0,13.034774994812292,12.620194076305115,30.609794144800144,,,
adaptive_voting,0.05,0.1,0.3,54.76353129409142,7.305111756340292,87.6,570.0,1.0,8.869089465138215,8.739087064917198,20.9669885579626,,,
centralized_profit,0.05,0.1,1.0,41.0508243015308,2.8112477358776458,25.5,223.2,0.3960308926437959,23.251194879792298,21.641366266906186,51.7,0.0,Growth Department,profit
centralized_sustainability,0.05,0.1,0.0,64.37167798638322,2.8842896424843127,100.0,605.5,0.967,10.418892610563157,11.29914808107713,29.485814626544872,2.0,Compliance Department,sustainability
centralized_risk_averse,0.05,0.1,0.0,68.92338602028418,4.350893347726905,100.0,549.6,0.9619999999999997,3.319700593811782,3.068287784771244,7.942182339914126,4.0,Risk Department,risk_averse
structured_debate,0.05,0.1,1.0,44.9652521865129,3.431474498603634,27.7,237.7,0.4797353762078994,22.418811032501672,20.531066494957685,53.1,,,
independent,0.15,0.0,1.0,43.60927350607019,2.584241058469896,25.4,244.8,0.0,27.500132466556856,25.615261227396708,63.5,,,
voting,0.15,0.0,1.0,34.50497750420837,2.4677397709089766,27.8,249.5,1.0,16.02242052836718,15.62610806798266,35.44215530021766,,,
adaptive_voting,0.15,0.0,0.0,63.404619710063955,1.5859921829180763,100.0,701.5,1.0,2.916877711687304,3.2306651594778892,8.025805597606839,,,
centralized_profit,0.15,0.0,1.0,42.58026376893763,2.033610069303851,31.7,283.3,0.35560693443600777,28.66258370167361,26.939246356953237,64.8562922716953,0.0,Growth Department,profit
centralized_sustainability,0.15,0.0,0.0,68.08294089374283,0.730524517829979,100.0,658.1,0.968,14.263457636793742,16.42464306920751,42.51190345503806,2.0,Compliance Department,sustainability
centralized_risk_averse,0.15,0.0,0.0,75.64610401000968,1.3461261869656382,100.0,551.9,0.9619999999999997,2.4875411045930798,2.302568555371413,5.703248840200745,4.0,Risk Department,risk_averse
structured_debate,0.15,0.0,1.0,46.309009144744664,2.436626487424974,41.9,355.0,0.5415696231685934,32.70598393014784,30.0702825138854,76.4,,,
independent,0.15,0.05,1.0,43.01697266649599,3.648803789105856,19.4,187.8,0.0,21.512916466327585,19.928269257724075,49.5,,,
voting,0.15,0.05,1.0,36.58465669796634,4.490699257455117,20.4,191.0,1.0,12.68919828839493,12.222466586171839,29.52088184626645,,,
adaptive_voting,0.15,0.05,0.0,57.921962288423856,4.524455818656593,100.0,673.5,1.0,5.972694316566008,6.299608894605781,15.599555765683396,,,
centralized_profit,0.15,0.05,1.0,42.38979195090532,4.523073718361896,24.0,213.6,0.3515319039198349,22.515316172781397,20.878457790817876,50.8,0.0,Growth Department,profit
centralized_sustainability,0.15,0.05,0.0,65.517283014051,2.5014841118376125,100.0,634.7,0.969,13.307803769293713,14.838204258145709,38.49297779379902,2.0,Compliance Department,sustainability
centralized_risk_averse,0.15,0.05,0.0,71.93863775738444,3.1658286940308704,100.0,550.6,0.9619999999999997,3.0441390073075993,2.8087569765500473,7.048803369847154,4.0,Risk Department,risk_averse
structured_debate,0.15,0.05,1.0,44.643448093555776,4.748517257533232,26.5,229.3,0.4256858606481993,22.882551813941326,20.85966448100067,53.6,,,
independent,0.15,0.1,1.0,41.59118981246048,3.0103681175660415,18.7,179.2,0.0,21.851114849574934,20.134283121459564,51.5,,,
voting,0.15,0.1,1.0,36.958080508353916,4.424542820299848,19.4,182.0,1.0,10.638918958727071,10.213941308241248,24.67997950944048,,,
adaptive_voting,0.15,0.1,0.6,49.37336872474499,7.389202191731116,69.0,452.0,1.0,12.483381775567386,12.382145586900554,29.284127689851545,,,
centralized_profit,0.15,0.1,1.0,42.08697437831613,3.576768633796158,22.0,196.6,0.3264815015657242,20.858871526140657,19.385763189009346,47.47681259870757,0.0,Growth Department,profit
centralized_sustainability,0.15,0.1,0.2,58.08040836836308,7.198442410529793,91.6,556.3,0.9708051948051948,13.923779924888294,14.218919120840226,35.112913789152095,2.0,Compliance Department,sustainability
centralized_risk_averse,0.15,0.1,0.2,64.3520244454779,7.930619229144456,91.5,500.7,0.9668793215916504,7.401210741210053,6.992431640078477,16.982256055203212,4.0,Risk Department,risk_averse
structured_debate,0.15,0.1,1.0,45.21684021571373,4.538057476970544,23.5,205.3,0.41082786365681107,19.38424306411964,17.748145030314394,44.9,,,
