mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,recovery_noise_std,shock_probability,composition,leader_index,leader_name,leader_role
independent,0,3.786185515943563,43.109650553968386,True,24.0,25,240.0,33.62894827540565,168.14474137702825,29.268957173326502,26.926973756112535,68.0,0,0,0.0009019959979923442,0.0,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 64.0, 'Compliance Department': -2.0, 'Operations Department': 17.06901766670937, 'Risk Department': 23.075723710318876}",65.0,-2.0,17.06901766670937,23.075723710318876,0.01,0.0,standard,,,
independent,1,0.0,42.48159780249698,True,25.0,26,247.0,34.54368767142588,172.7184383571294,28.36504986285929,26.010041399852835,66.0,0,0,0.0006751040018571075,0.0,"{'Growth Department': 67.0, 'Trading/Opportunity Team': 63.0, 'Compliance Department': 1.0, 'Operations Department': 17.71843835712941, 'Risk Department': 24.0}",65.0,1.0,17.71843835712941,24.0,0.01,0.0,standard,,,
independent,2,2.1320109841242587,43.278681668744404,True,24.0,25,242.0,34.992882975273844,174.96441487636923,25.45251605493012,23.772079000766308,58.0,0,0,0.0009106510005949531,0.0,"{'Growth Department': 61.0, 'Trading/Opportunity Team': 66.0, 'Compliance Department': 8.0, 'Operations Department': 17.921774656686754, 'Risk Department': 22.04264021968248}",63.5,8.0,17.921774656686754,22.04264021968248,0.01,0.0,standard,,,
independent,3,3.2504175707431475,43.13821693569246,True,25.0,26,248.0,35.05171124601628,175.2585562300814,27.489032339413352,25.604743898915768,64.0,0,0,0.0006635380013904069,0.0,"{'Growth Department': 68.0, 'Trading/Opportunity Team': 63.0, 'Compliance Department': 4.0, 'Operations Department': 19.193547878666564, 'Risk Department': 21.06500835141486}",65.5,4.0,19.193547878666564,21.06500835141486,0.01,0.0,standard,,,
independent,4,1.3825279443808594,42.384190410927964,True,26.0,27,257.0,36.63569264479154,183.1784632239577,28.932249185890715,26.83521996709469,66.0,0,0,0.0006813619984313846,0.0,"{'Growth Department': 67.0, 'Trading/Opportunity Team': 70.0, 'Compliance Department': 4.0, 'Operations Department': 18.173442588183043, 'Risk Department': 24.00502063577465}",68.5,4.0,18.173442588183043,24.00502063577465,0.01,0.0,standard,,,
independent,5,0.4784686391560964,41.3968855424956,True,27.0,28,263.0,36.52137825435777,182.60689127178887,32.22442849615908,30.11055023675657,74.0,0,0,0.0007046620012260973,0.0,"{'Growth Department': 72.0, 'Trading/Opportunity Team': 72.0, 'Compliance Department': -2.0, 'Operations Department': 18.597321899005763, 'Risk Department': 22.009569372783126}",72.0,-2.0,18.597321899005763,22.009569372783126,0.01,0.0,standard,,,
independent,6,4.8218151371636715,42.23422709340456,True,24.0,25,243.0,35.154231017193226,175.77115508596614,27.252044994684343,25.94017644100512,60.0,0,0,0.0006066530004318338,0.0,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 67.0, 'Compliance Department': 7.0, 'Operations Department': 15.674718783222861, 'Risk Department': 20.09643630274327}",66.5,7.0,15.674718783222861,20.09643630274327,0.01,0.0,standard,,,
independent,7,1.0763525535054352,41.839799348996976,True,26.0,27,254.0,34.96747118440445,174.83735592202225,32.189467380647656,29.59777898160442,75.0,0,0,0.000615531000221381,0.0,"{'Growth Department': 71.0, 'Trading/Opportunity Team': 68.0, 'Compliance Department': -4.0, 'Operations Department': 16.815828870952153, 'Risk Department': 23.021527051070102}",69.5,-4.0,16.815828870952153,23.021527051070102,0.01,0.0,standard,,,
independent,8,0.21016149017564523,40.46281966635516,True,25.0,26,251.0,35.28609428660952,176.4304714330476,30.171797087480954,27.588570409783316,69.0,0,0,0.0006283969996729866,0.0,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 69.0, 'Compliance Department': 0.0, 'Operations Department': 15.426268203244067, 'Risk Department': 26.004203229803515}",67.5,0.0,15.426268203244067,26.004203229803515,0.01,0.0,standard,,,
independent,9,2.729802526876517,42.737404865571435,True,25.0,26,252.0,36.91152392271947,184.55761961359732,27.759516229910428,26.265418144263833,63.0,0,0,0.0005967300021438859,0.0,"{'Growth Department': 70.0, 'Trading/Opportunity Team': 67.0, 'Compliance Department': 7.0, 'Operations Department': 19.503023563059813, 'Risk Department': 21.054596050537533}",68.5,7.0,19.503023563059813,21.054596050537533,0.01,0.0,standard,,,
